Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
01718,1718,1718,152403804/165156398,Некорректные данные: + 2000000016832,Для животных,01718,декорации для аквариума знак белый GT1575,1718,"6,0","191,0",Некорректные данные: + 2000000016832,{'ean13': '2000000016832'},"0,07",152403804/165156398,C2,"34,5",,0.0,
01719,1719,1719,157133056,Некорректные данные: + 2000000016856,Красота,01719,Блок питания для тату машинки aurora 黑色2A/欧标,1719,"70,0","1371,0",Некорректные данные: + 2000000016856,{'ean13': '2000000016856'},"0,3",157133056,A2,"34,5",,52.0,
01720,1720,1720,152414046,Некорректные данные: + 2000000016818,Красота,01720,"Искусственная кожа для тату и татуажа, 15*20 см, 1 мм (комплект 3 шт)",1720,"5,1","175,0",Некорректные данные: + 2000000016818,{'ean13': '2000000016818'},"0,1",152414046,C1,"34,5",,0.0,
01721,1721,1721,152414626,Некорректные данные: + 2000000016894,Красота,01721,"Искусственная кожа для тату и татуажа, 20*30 см, 3 мм (комплект 3 шт)",1721,"13,5","298,0",Некорректные данные: + 2000000016894,{'ean13': '2000000016894'},"0,3",152414626,C1,"34,5",,0.0,
01722,1722,1722,153055934,Некорректные данные: + 2000000016634,Красота,01722,Картриджи для тату 1003RL,1722,"24,0","457,0",Некорректные данные: + 2000000016634,{'ean13': '2000000016634'},"0,1",153055934,A1 TOP,"34,5",,0.0,
01723,1723,1723,153068985,Некорректные данные: + 2000000016849,Красота,01723,Картриджи для тату 1007RL,1723,"26,0","483,0",Некорректные данные: + 2000000016849,{'ean13': '2000000016849'},"0,1",153068985,A1 TOP,"34,5",,0.0,
01724,1724,1724,153076964,Некорректные данные: + 2000000016672,Красота,01724,Картриджи для тату 1005RM,1724,"24,0","457,0",Некорректные данные: + 2000000016672,{'ean13': '2000000016672'},"0,1",153076964,A2,"34,5",,0.0,
01725,1725a,1725a,165642917,Некорректные данные: + 2000000016825,Красота,01725,Картриджи для тату 1007RM,1725a,"26,0","482,0",Некорректные данные: + 2000000016825,{'ean13': '2000000016825'},"0,1",165642917,A2,"34,5",,0.0,
01726,1726,1726,153262820,Некорректные данные: + 2000000016788,Стоматология,01726,"Отбеливающая зубная паста с морской солью и содой, 180 мл розовый (соль+жасмин",1726,"8,5","332,0",Некорректные данные: + 2000000016788,{'ean13': '2000000016788'},"0,28",153262820,Sale,"34,5",,0.0,
00928,928,928,82725143,2000000005751,18+,00928,"Уретральный зонд мужской силикон черный ребристый шарик на конце 15,5 см",928,"3,6","137,0",2000000005751,928,"0,03",82725143,C1,"25,7",,0.0,
00931,931,931,82727242,2000000005782,18+,00931,"Уретральный зонд мужской силикон черный палка 10,3 см по середине волна",931,"3,6","141,0",2000000005782,931,"0,03",82727242,C1,"29,5",,0.0,
01262,1262,1262,137521535,2000000010465,Дом,01262,Фотолюминесцентная лента 3 метра. БЕЛАЯ 浅蓝3cm*3m,1262,"5,4","166,0",2000000010465,нет,"0,05",137521535,C1,"34,5",,135.0,
00970,970,970,85097202,2000000006185,Для животных,00970,"Выкручиватель, для удаления клещей набор 3шт. синий",970,"1,2","91,0",2000000006185,970,"0,02",85097202,C2,"34,5",,0.0,
01072,1072,1072,112617047,2000000007366,Дом,01072,Мешок для хранения белья. Складная 75 л. РОЗОВЫЙ,1072,"6,0","290,0",2000000007366,1072,"0,3",112617047,Sale,"34,5",,0.0,
01526,1526,1526,149994585,2000000013633,Красота,01526,Шапка для сна - Новая модель - СТЯЖКА - Бирюзовая,1526,"6,1","182,0",2000000013633,1526,"0,04",149994585,C1,"34,5",,0.0,
01332,1332,1332,138177056,2000000011233,Красота,01332,Повязка-бандаж антихрап - черная,1332,"3,0","149,0",2000000011233,нет,"0,09",138177056,Sale,"34,5",,0.0,
